a0,a1,beta,epsilondelta
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0114848,0.0347069,0.732091,0.0133426,0.350112
0.0114848,0.0347069,0.732091,0.0133426,0.350112
0.0114848,0.0347069,0.732091,0.0133426,0.350112
0.0114848,0.0347069,0.732091,0.0133426,0.350112
0.0114848,0.0347069,0.732091,0.0133426,0.350112
0.0114848,0.0347069,0.732091,0.0133426,0.350112
0.0121772,0.0344966,0.469462,0.0204209,0.447909
0.0121772,0.0344966,0.469462,0.0204209,0.447909
0.0121772,0.0344966,0.469462,0.0204209,0.447909
0.0121772,0.0344966,0.469462,0.0204209,0.447909
0.0121772,0.0344966,0.469462,0.0204209,0.447909
0.0113218,0.0368976,0.515124,0.0156591,0.346601
0.0113218,0.0368976,0.515124,0.0156591,0.346601
0.0113218,0.0368976,0.515124,0.0156591,0.346601
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
