a0,a1,beta,epsilon1,epsilon2,epsilon3
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
0.0025592,0.035432,1.00627,0.00117893,0.0377563,0.0183219
