a0,a1,beta
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.410342,0.0261148,5.83861
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.466937,0.036561,6.73434
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.414126,0.0989568,6.1284
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
