a0,a1,beta,tilde_beta,delta
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0472135,0.0479266,1.13248,2.24951,0.549273
0.0683093,0.0269204,1.23351,2.13481,0.27544
0.0683093,0.0269204,1.23351,2.13481,0.27544
0.0683093,0.0269204,1.23351,2.13481,0.27544
0.0665546,0.033015,1.33575,2.15602,0.432194
0.0665546,0.033015,1.33575,2.15602,0.432194
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0694666,0.0290798,1.27632,2.26206,0.40283
0.0618449,0.0315345,1.31082,2.32557,0.505393
0.0618449,0.0315345,1.31082,2.32557,0.505393
0.0618449,0.0315345,1.31082,2.32557,0.505393
0.0618449,0.0315345,1.31082,2.32557,0.505393
0.0618449,0.0315345,1.31082,2.32557,0.505393
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0562556,0.0562744,1.32639,2.48497,0.609048
0.0513512,0.0803813,1.4203,2.47685,0.552825
0.0513512,0.0803813,1.4203,2.47685,0.552825
0.054165,0.0801617,1.4001,2.46412,0.520335
0.054165,0.0801617,1.4001,2.46412,0.520335
0.054165,0.0801617,1.4001,2.46412,0.520335
0.054165,0.0801617,1.4001,2.46412,0.520335
0.0577426,0.0687329,1.27318,2.53539,0.5991
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
0.0450432,0.0537744,1.06823,2.42716,0.600185
